entry_date,exit_date,entry_price,exit_price,shares,pnl_gross,pnl_net,fees_total
2021-05-18,2021-05-25,19.589789923667908,20.38979961872101,1280,1024.012409667971,976.812409667971,47.2
2021-06-04,2021-06-18,20.29014068698883,22.96850954246521,1171,3136.369929762839,3089.1699297628393,47.2
2021-08-26,2021-09-21,17.03851568698883,18.710639313697815,1108,1852.7129783935545,1805.5129783935545,47.2
2021-10-04,2021-10-27,19.57978469467163,22.38879961872101,1296,3640.483341567995,3593.283341567995,47.2
2021-12-09,2021-12-20,21.08053469467163,19.750120228767397,1248,-1660.3572534484836,-1707.5572534484836,47.2
2021-12-28,2022-01-24,20.070029465675354,21.989,1656,3177.8152048416146,3130.6152048416147,47.2
2022-02-10,2022-02-24,21.640814160346984,22.498745228767397,789,676.9076129837059,629.7076129837059,47.2
2022-03-23,2022-05-04,24.952470534324643,57.571198474884035,1114,36337.262925783165,36290.06292578317,47.2
2022-05-23,2022-06-01,64.36216683197021,62.06894847488404,288,-660.4468868408185,-707.6468868408185,47.2
2022-07-05,2022-08-29,52.70634030532837,71.97399713516236,390,7514.3861636352585,7467.186163635259,47.2
2022-08-30,2022-09-02,80.03999999999999,82.62866316986084,242,626.456487106326,579.256487106326,47.2
2022-11-01,2022-11-18,67.45370816802978,67.95600286483766,340,170.78019691467915,123.58019691467915,47.2
2022-12-29,2023-01-11,61.030499999999996,56.33182061004639,361,-1696.223259773251,-1743.423259773251,47.2
2023-01-17,2023-01-25,54.717343626022334,54.572698474884035,444,-64.22244710540471,-111.42244710540471,47.2
2023-02-21,2023-03-28,33.39669106864929,35.77210591506958,540,1282.7240170669572,1235.5240170669572,47.2
2023-04-06,2023-04-17,38.27912832069397,37.84107061004639,478,-209.39158568954517,-256.5915856895452,47.2
2023-04-20,2023-05-17,37.71885076332092,47.17640076255799,661,6251.440549495701,6204.240549495701,47.2
2023-05-23,2023-05-31,52.076024236679075,50.17490076255799,525,-998.08982391357,-1045.28982391357,47.2
2023-06-07,2023-06-14,53.596784694671626,53.613179389953615,429,7.033324275973044,-40.16667572402696,47.2
2023-07-25,2023-09-20,47.62379847335815,74.19288835525514,662,17588.737501815805,17541.537501815805,47.2
2023-10-30,2023-11-22,70.91543725204467,78.46075,282,2127.778194923405,2080.578194923405,47.2
2023-11-28,2023-12-20,81.44070152664185,107.03645133972168,306,7832.299442802429,7785.09944280243,47.2
2024-01-31,2024-02-06,111.7558469467163,110.92451335525513,247,-205.33939709091,-252.53939709091003,47.2
2024-02-07,2024-02-13,110.45520152664184,112.9435,222,552.4022610855108,505.20226108551077,47.2
2024-03-06,2024-03-11,115.05749999999999,113.94300000000001,259,-288.6554999999944,-335.8554999999944,47.2
2024-04-01,2024-04-22,109.5947709159851,121.58917652511597,212,2542.8139891357464,2495.6139891357466,47.2
2024-05-14,2024-06-13,118.74934744262694,152.92350000000002,221,7552.48771517945,7505.28771517945,47.2
2024-07-30,2024-08-06,144.072,139.32030438995363,211,-1002.6077737197838,-1049.8077737197839,47.2
2024-09-16,2024-10-04,132.2660969467163,127.92600286483766,212,-920.0999453582701,-967.2999453582702,47.2
2024-11-05,2024-11-12,117.04849286270141,115.90201908493043,239,-274.00723288726385,-321.20723288726384,47.2
2024-11-29,2024-12-20,112.2560969467163,102.22885877990723,120,-1203.2685800170884,-1250.4685800170885,47.2
2024-12-30,2025-01-09,101.65079847335815,101.34930152511598,233,-70.24878894042672,-117.44878894042672,47.2
2025-01-15,2025-01-27,108.04399286270142,102.91851622009278,179,-917.4603190269452,-964.6603190269452,47.2
2025-02-27,2025-04-01,100.65029847335815,101.51921469497681,263,228.52496628570802,181.324966285708,47.2
2025-04-03,2025-04-08,102.05099999999999,104.9475,286,828.399000000005,781.199000000005,47.2
2025-04-15,2025-04-30,105.25259694671631,109.90501908493043,210,977.0086490249653,929.8086490249652,47.2
2025-05-16,2025-05-28,109.05449999999999,110.9445,215,406.3500000000032,359.1500000000032,47.2
2025-06-10,2025-06-17,113.5967709159851,112.85354866027832,293,-217.76412092208744,-264.96412092208743,47.2
2025-06-27,2025-07-18,116.05799999999999,119.66014122009278,230,828.4924806213417,781.2924806213416,47.2
2025-08-13,2025-08-14,119.01947908401489,117.32130725479126,273,-463.60090937804966,-510.80090937804965,47.2
2025-08-18,2025-10-08,118.07900664138793,151.62414694976806,281,9426.184426654816,9378.984426654815,47.2
2025-10-17,2025-10-28,157.33862450408935,163.6181469497681,167,1048.680248428349,1001.4802484283489,47.2
